rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde 1;atrtribuutnaam 2;Waarde 2;atrtribuutnaam 3;Waarde 3;atrtribuutnaam 4;Waarde 4;atrtribuutnaam 5;Waarde 5;atrtribuutnaam 6;Waarde 6;atrtribuutnaam 7;Waarde 7
B6;;;12 m;;;B6;;;Werkingslengte;Werkingslengte;12;;;;;;;;;;;;
B2;;;120 m;;;B2;;;Werkingslengte;Werkingslengte;120;;;;;;;;;;;;
B6;;;120 m;;;B6;;;Werkingslengte;Werkingslengte;120;;;;;;;;;;;;
B6;;;125 m;;;B6;;;Werkingslengte;Werkingslengte;125;;;;;;;;;;;;
B2;;;135 m;;;B2;;;Werkingslengte;Werkingslengte;135;;;;;;;;;;;;
B6;;;15 m;;;B6;;;Werkingslengte;Werkingslengte;15;;;;;;;;;;;;
B6;;;150  m;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B1;;;150 m;;;B1;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B2;;;150 m;;;B2;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B4;;;150 m;;;B4;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B5;;;150 m;;;B5;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150 m;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150 M;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B7;;;150 m;;;B7;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150 m ;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150 m.;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;150 m";;;B6;;;Vrije tekst;Omschrijving;"150 m;150 m";;;;;;;;;;;;
B6;;;"150 m;150m";;;B6;;;Vrije tekst;Omschrijving;"150 m;150m";;;;;;;;;;;;
B6;;;"150 m;Alleen voor de hoofdujbaan";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;alleen voor hoofdrijbaan";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;Garagebedrijf Inus Kiers Erm";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;Gevaarlijke oversteek";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;hoofdrijbaan";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;Manege de Woelige Stal";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;Niet Parkeren";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;Situatie gewijzigd let op";;;B6;;;vrije tekst;omschrijving;Situatie gewijzigd let op;;;;;;;;;;;;
B6;;;"150 m;Situatie gewijzigd let op";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;'t haasje 100 m";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150 m;uitgezonderd tractoren en brommobielen";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150 mÃƒÂ„Ã‚Â±f;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150 meter;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150 mf;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150 mm;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B7;;;1500 m;;;B7;;;Werkingslengte;Werkingslengte;1500;;;;;;;;;;;;
B1;;;150m;;;B1;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B2;;;150m;;;B2;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;150m;;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150m;150 m";;;B6;;;vrije tekst;omschrijving;"150m;150 m";;;;;;;;;;;;
B6;;;"150m;Gevaarlijke oversteek";;;B6;;;Werkingslengte;Werkingslengte;150;;;;;;;;;;;;
B6;;;"150m;Gevaarlijke oversteek";;;B6;;;vrije tekst;omschrijving;Gevaarlijke oversteek;;;;;;;;;;;;
B2;;;175 m;;;B2;;;Werkingslengte;Werkingslengte;175;;;;;;;;;;;;
B6;;;199m;;;B6;;;Werkingslengte;Werkingslengte;199;;;;;;;;;;;;
B1;;;2 X;;;B1;;;vrije tekst;omschrijving;2 X;;;;;;;;;;;;
B1;;;2 x;;;B1;;;vrije tekst;omschrijving;2 x;;;;;;;;;;;;
B3;;;2 x;;;B3;;;vrije tekst;omschrijving;2 x;;;;;;;;;;;;
B3;;;2 X;;;B3;;;vrije tekst;omschrijving;2 X;;;;;;;;;;;;
B4;;;2 X;;;B4;;;vrije tekst;omschrijving;2 X;;;;;;;;;;;;
B4;;;2 x;;;B4;;;vrije tekst;omschrijving;2 x;;;;;;;;;;;;
B5;;;2 X;;;B5;;;vrije tekst;omschrijving;2 X;;;;;;;;;;;;
B5;;;2 x;;;B5;;;vrije tekst;omschrijving;2 x;;;;;;;;;;;;
