rvvCode; blackCode; zoneCode; textSigns;;;;;;Naam; Snelheid;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde onderbord 1;atrtribuutnaam 2;Waarde onderbord 2
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;120;;6-19h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;19:00:00
A1;100;;6-9 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;06:00:00;eindtijd;09:00:00
A1(Zone);30;;70m;;;;;;A1;30;Zone;Werkingslengte;werkingslengte;70;;
A3;;;75 m;;;;;;A3;;;Werkingslengte;werkingslengte;75;;
A1;70;;750 m;;;;;;A1;70;;Werkingslengte;werkingslengte;750;;
A1(Zone);30;;80m;;;;;;A1;30;Zone;Werkingslengte;werkingslengte;80;;
A4;40;;9 drempels;;;;;;A4;40;;Waarschuwing;Omschrijving;9 drempels;;
A2(Zone);30;;900m;;;;;;A2;30;Zone;Werkingslengte;werkingslengte;900;;
A3;;;900m;;;;;;A3;;;Werkingslengte;werkingslengte;900;;
A1;100;;9-19 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;09:00:00;eindtijd;19:00:00
A1;100;;9-19h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;09:00:00;eindtijd;19:00:00
A3;;;A 27 E 311;;;;;;A3;;;Vrije tekst;Omschrijving;A 27 E 311;;
A1(Zone);30;;AANRUROUTE SMOK VOT;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;AANRUROUTE SMOK VOT;;
A1;15;;achteruit inparkeren verplicht;;;;;;A1;15;;Parkeerinstructie;Omschrijving;achteruit inparkeren verplicht;;
A1;15;;achteruit inparkeren verplicht;;;;;;A1;15;;Parkeerinstructie;Omschrijving;achteruit inparkeren verplicht;;
A1;15;;achteruit parkeren verplicht;;;;;;A1;15;;Parkeerinstructie;Omschrijving;achteruit parkeren verplicht;;
A1;50;;afrit;;;;;;A1;50;;Afrit;Omschrijving;Afrit;;
A1;70;;afrit;;;;;;A1;70;;Afrit;Omschrijving;Afrit;;
A1;70;;AFRIT;;;;;;A1;70;;Afrit;Omschrijving;Afrit;;
A1;80;;afrit;;;;;;A1;80;;Afrit;Omschrijving;Afrit;;
A1;90;;afrit;;;;;;A1;90;;Afrit;Omschrijving;Afrit;;
A4;40;;afrit;;;;;;A4;40;;Afrit;Omschrijving;Afrit;;
A1;60;;afsluitbomen dalen automatisch;;;;;;A1;60;;Waarschuwing;Omschrijving;afsluitbomen dalen automatisch;;
A3;;;afsluitbomen dalen automatisch;;;;;;A3;;;Waarschuwing;Omschrijving;afsluitbomen dalen automatisch;;
